year,Sector_Name,sector,value
2019,Textile and wearing apparel,p3.2.1,5466
2019,Leather and related products,p3.2.2,786
2019,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,16545
2019,Wood products ,p3.3.1,7691
2019,Paper and paper products,p3.3.2,4672
2019,Printing and reproduction of recorded media ,p3.3.3,4182
2019,"Produk petroleum, kimia, getah dan plastik",p3.4,90982
2019,Refined petroleum products,p3.4.1,39026
2019,Chemicals & chemical products and pharmaceutical products ,p3.4.2,33767
2019,Rubber products,p3.4.3,7939
2019,Plastics products,p3.4.4,10250
2019,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,37716
2019,Non-metallic mineral products,p3.5.1,12438
2019,Basic metals,p3.5.2,8498
2019,Fabricated metal products,p3.5.3,16780
2019,"Produk elektrik, elektronik dan optikal",p3.6,89133
2019,Machinery and equipment,p3.6.1,10075
2019,Computers and peripheral equipment,p3.6.2,5715
2019,Electrical equipment,p3.6.3,6293
2019,"Electronic components & boards, communication equipment and consumer electronics",p3.6.4,61671
2019,"Manufacture of medical, precision & optical instrument, watches and clocks",p3.6.5,5379
2019,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,36027
2019,Motor vehicles and transport equipment,p3.7.1,26171
2019,Furniture,p3.7.2,5140
2019,Other manufacturing and repair & installation of machinery and equipment,p3.7.3,4716
2019,Construction,p4,66453
2019,Buildings,p4.1,29540
2019,Residential buildings,p4.1.1,15352
2019,Non-residential buildings,p4.1.2,14188
2019,Civil engineering,p4.2,24823
2019,Specialised construction activities,p4.3,12089
2019,Services,p5,820576
2019,"Utilities, transportation & storage and information & communication",p5.1,176184
2019,Electricity and gas,p5.1.1,30596
2019,"Water, sewerage and waste management",p5.1.2,7731
2019,Transportation and storage,p5.1.3,53632
2019,Land transport,p5.1.3.1,13463
2019,Water transport,p5.1.3.2,6625
2019,Air transport,p5.1.3.3,6388
2019,Port and airport operation,p5.1.3.4,7946
2019,Highway operation,p5.1.3.5,8378
2019,Support activities for transportation,p5.1.3.6,8417
2019,Postal and courier ,p5.1.3.7,2414
2019,Information and communication,p5.1.4,84225
2019,Publishing and broadcasting activities ,p5.1.4.1,8091
2019,Telecommunications,p5.1.4.2,57104
2019,Computer and information service activities,p5.1.4.3,19031
2019,"Wholesale and retail trade, food & beverage and accommodation",p5.2,292526
2019,Wholesale and retail trade ,p5.2.1,242704
2019,Wholesale trade,p5.2.1.1,107690
2019,Retail trade,p5.2.1.2,110245
2019,Motor vehicles,p5.2.1.3,24769
2019,Food and beverage,p5.2.2,39971
2019,Accommodation,p5.2.3,9851
2019,"Finance and insurance, real estate and business services",p5.3,162121
2019,Finance,p5.3.1,69388
2019,Monetary intermediation,p5.3.1.1,58507
2019,Other financial intermediation and activities auxiliary to finance,p5.3.1.2,10881
2019,Insurance,p5.3.2,23970
2019,Insurance and pension funding,p5.3.2.1,23362
2019,Activities auxiliary to insurance,p5.3.2.2,608
2019,Real estate,p5.3.3,21433
2019,Business services,p5.3.4,47330
2019,"Professional, scientific and technical ",p5.3.4.1,32710
2019,Administrative and support services,p5.3.4.2,14620
2019,Other services,p5.4,70943
2019,Private health services,p5.4.1,10070
2019,Private education services,p5.4.2,11801
2019,Owner-occupied dwellings,p5.4.3,31514
2019,Non-profit institutions serving households,p5.4.4,373
2019,Domestic services of households,p5.4.5,1268
2019,Other services not elsewhere classified,p5.4.6,15917
2019,Government services,p5.5,118804
2019,General public services,p5.5.01,14241
2019,Defence,p5.5.02,7801
2019,Public order and safety,p5.5.03,9707
2019,Economic affairs,p5.5.04,16097
2019,Environmental protection,p5.5.05,333
2019,Housing and community amenities,p5.5.06,2952
2019,Health,p5.5.07,17650
2019,"Recreation, culture and religion",p5.5.08,2193
2019,Education,p5.5.09,46115
2019,Social protection,p5.5.10,1716
2019,Import duties,p6,16179
2020,Agriculture,p1,99109
2020,Crops,p1.1,66681
2020,Rubber,p1.1.1,2444
2020,Oil palm,p1.1.2,36869
2020,Paddy,p1.1.3,2388
2020,Vegetables,p1.1.4,12152
2020,Fruits,p1.1.5,4929
2020,Food crops,p1.1.6,6687
2020,Others ,p1.1.7,1212
2020,Livestock,p1.2,16002
2020,Poultry,p1.2.1,9683
2020,Cattle,p1.2.2 ,1199
2020,Other livestocks,p1.2.3,5120
2020,Forestry and logging,p1.3,5140
2020,Fishing,p1.4,11286
2020,Marine fishing,p1.4.1,7293
2020,Aquaculture,p1.4.2,3992
2020,Mining and quarrying,p2,92879
2020,Crude oil and condensate,p2.1,38430
2020,Natural gas ,p2.2,45896
2020,Other mining & quarrying and supporting services,p2.3,8554
2020,Manufacturing,p3,307606
2020,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,38590
2020,Vegetable and animal oils & fats,p3.1.1,12771
2020,Food processing,p3.1.2,18110
2020,Beverages,p3.1.3,4526
2020,Tobacco products,p3.1.4,3183
2020,"Tekstil, pakaian dan produk kulit",p3.2,5444
2020,Textile and wearing apparel,p3.2.1,4809
2020,Leather and related products,p3.2.2,635
2020,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,15289
2020,Wood products ,p3.3.1,6768
2020,Paper and paper products,p3.3.2,4547
2020,Printing and reproduction of recorded media ,p3.3.3,3974
2020,"Produk petroleum, kimia, getah dan plastik",p3.4,90084
2020,Refined petroleum products,p3.4.1,35286
2020,Chemicals & chemical products and pharmaceutical products ,p3.4.2,32201
2020,Rubber products,p3.4.3,12076
2020,Plastics products,p3.4.4,10521
2020,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,32797
2020,Non-metallic mineral products,p3.5.1,10569
2020,Basic metals,p3.5.2,8055
2020,Fabricated metal products,p3.5.3,14173
2020,"Produk elektrik, elektronik dan optikal",p3.6,91362
2020,Machinery and equipment,p3.6.1,10212
2020,Computers and peripheral equipment,p3.6.2,5637
2020,Electrical equipment,p3.6.3,6317
2020,"Electronic components & boards, communication equipment and consumer electronics",p3.6.4,63889
2020,"Manufacture of medical, precision & optical instrument, watches and clocks",p3.6.5,5307
2020,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,34040
2020,Motor vehicles and transport equipment,p3.7.1,24935
2020,Furniture,p3.7.2,4785
2020,Other manufacturing and repair & installation of machinery and equipment,p3.7.3,4320
2020,Construction,p4,53616
2020,Buildings,p4.1,24764
2020,Residential buildings,p4.1.1,12819
2020,Non-residential buildings,p4.1.2,11945
2020,Civil engineering,p4.2,17836
2020,Specialised construction activities,p4.3,11015
2020,Services,p5,777693
2020,"Utilities, transportation & storage and information & communication",p5.1,169232
2020,Electricity and gas,p5.1.1,29610
2020,"Water, sewerage and waste management",p5.1.2,8341
